YYYY	MM	DD	hh	mm	Br
2002	1	1	0	0	
2002	1	2	0	0	
2002	1	3	0	0	
2002	1	4	0	0	
2002	1	5	0	0	
2002	1	6	0	0	
2002	1	7	0	0	
2002	1	8	0	0	
2002	1	9	0	0	
2002	1	10	0	0	
2002	1	11	0	0	
2002	1	12	0	0	
2002	1	13	0	0	
2002	1	14	0	0	
2002	1	15	0	0	
2002	1	16	0	0	
2002	1	17	0	0	
2002	1	18	0	0	
2002	1	19	0	0	
2002	1	20	0	0	
2002	1	21	0	0	
2002	1	22	0	0	
2002	1	23	0	0	
2002	1	24	0	0	
2002	1	25	0	0	
2002	1	26	0	0	
2002	1	27	0	0	
2002	1	28	0	0	
2002	1	29	0	0	
2002	1	30	0	0	
2002	1	31	0	0	
2002	2	1	0	0	
2002	2	2	0	0	
2002	2	3	0	0	
2002	2	4	0	0	
2002	2	5	0	0	
2002	2	6	0	0	
2002	2	7	0	0	
2002	2	8	0	0	
2002	2	9	0	0	
2002	2	10	0	0	
2002	2	11	0	0	
2002	2	12	0	0	
2002	2	13	0	0	
2002	2	14	0	0	
2002	2	15	0	0	
2002	2	16	0	0	
2002	2	17	0	0	
2002	2	18	0	0	
2002	2	19	0	0	
2002	2	20	0	0	
2002	2	21	0	0	
2002	2	22	0	0	
2002	2	23	0	0	
2002	2	24	0	0	
2002	2	25	0	0	
2002	2	26	0	0	
2002	2	27	0	0	
2002	2	28	0	0	
2002	3	1	0	0	
2002	3	2	0	0	
2002	3	3	0	0	
2002	3	4	0	0	
2002	3	5	0	0	
2002	3	6	0	0	
2002	3	7	0	0	
2002	3	8	0	0	
2002	3	9	0	0	
2002	3	10	0	0	
2002	3	11	0	0	
2002	3	12	0	0	
2002	3	13	0	0	
2002	3	14	0	0	
2002	3	15	0	0	
2002	3	16	0	0	
2002	3	17	0	0	
2002	3	18	0	0	
2002	3	19	0	0	
2002	3	20	0	0	
2002	3	21	0	0	
2002	3	22	0	0	
2002	3	23	0	0	
2002	3	24	0	0	
2002	3	25	0	0	
2002	3	26	0	0	
2002	3	27	0	0	
2002	3	28	0	0	
2002	3	29	0	0	
2002	3	30	0	0	
2002	3	31	0	0	
2002	4	1	0	0	
2002	4	2	0	0	
2002	4	3	0	0	
2002	4	4	0	0	
2002	4	5	0	0	
2002	4	6	0	0	
2002	4	7	0	0	
2002	4	8	0	0	
2002	4	9	0	0	
2002	4	10	0	0	
2002	4	11	0	0	
2002	4	12	0	0	
2002	4	13	0	0	
2002	4	14	0	0	
2002	4	15	0	0	
2002	4	16	0	0	
2002	4	17	0	0	
2002	4	18	0	0	
2002	4	19	0	0	
2002	4	20	0	0	
2002	4	21	0	0	
2002	4	22	0	0	
2002	4	23	0	0	
2002	4	24	0	0	
2002	4	25	0	0	
2002	4	26	0	0	
2002	4	27	0	0	
2002	4	28	0	0	
2002	4	29	0	0	
2002	4	30	0	0	
2002	5	1	0	0	
2002	5	2	0	0	
2002	5	3	0	0	
2002	5	4	0	0	
2002	5	5	0	0	
2002	5	6	0	0	
2002	5	7	0	0	
2002	5	8	0	0	
2002	5	9	0	0	
2002	5	10	0	0	
2002	5	11	0	0	
2002	5	12	0	0	
2002	5	13	0	0	
2002	5	14	0	0	
2002	5	15	0	0	
2002	5	16	0	0	
2002	5	17	0	0	
2002	5	18	0	0	
2002	5	19	0	0	
2002	5	20	0	0	
2002	5	21	0	0	
2002	5	22	0	0	
2002	5	23	0	0	
2002	5	24	0	0	
2002	5	25	0	0	
2002	5	26	0	0	
2002	5	27	0	0	
2002	5	28	0	0	
2002	5	29	0	0	
2002	5	30	0	0	
2002	5	31	0	0	
2002	6	1	0	0	
2002	6	2	0	0	
2002	6	3	0	0	
2002	6	4	0	0	
2002	6	5	0	0	
2002	6	6	0	0	
2002	6	7	0	0	
2002	6	8	0	0	
2002	6	9	0	0	
2002	6	10	0	0	
2002	6	11	0	0	
2002	6	12	0	0	
2002	6	13	0	0	
2002	6	14	0	0	
2002	6	15	0	0	
2002	6	16	0	0	
2002	6	17	0	0	
2002	6	18	0	0	
2002	6	19	0	0	
2002	6	20	0	0	
2002	6	21	0	0	
2002	6	22	0	0	
2002	6	23	0	0	
2002	6	24	0	0	
2002	6	25	0	0	
2002	6	26	0	0	
2002	6	27	0	0	
2002	6	28	0	0	
2002	6	29	0	0	
2002	6	30	0	0	
2002	7	1	0	0	
2002	7	2	0	0	
2002	7	3	0	0	
2002	7	4	0	0	
2002	7	5	0	0	
2002	7	6	0	0	
2002	7	7	0	0	
2002	7	8	0	0	
2002	7	9	0	0	
2002	7	10	0	0	
2002	7	11	0	0	
2002	7	12	0	0	
2002	7	13	0	0	
2002	7	14	0	0	
2002	7	15	0	0	
2002	7	16	0	0	
2002	7	17	0	0	
2002	7	18	0	0	
2002	7	19	0	0	
2002	7	20	0	0	
2002	7	21	0	0	
2002	7	22	0	0	
2002	7	23	0	0	
2002	7	24	0	0	
2002	7	25	0	0	
2002	7	26	0	0	
2002	7	27	0	0	
2002	7	28	0	0	
2002	7	29	0	0	
2002	7	30	0	0	
2002	7	31	0	0	
2002	8	1	0	0	
2002	8	2	0	0	
2002	8	3	0	0	
2002	8	4	0	0	
2002	8	5	0	0	
2002	8	6	0	0	
2002	8	7	0	0	
2002	8	8	0	0	
2002	8	9	0	0	
2002	8	10	0	0	
2002	8	11	0	0	
2002	8	12	0	0	
2002	8	13	0	0	
2002	8	14	0	0	
2002	8	15	0	0	
2002	8	16	0	0	
2002	8	17	0	0	
2002	8	18	0	0	
2002	8	19	0	0	
2002	8	20	0	0	
2002	8	21	0	0	
2002	8	22	0	0	
2002	8	23	0	0	
2002	8	24	0	0	
2002	8	25	0	0	
2002	8	26	0	0	
2002	8	27	0	0	
2002	8	28	0	0	
2002	8	29	0	0	
2002	8	30	0	0	
2002	8	31	0	0	
2002	9	1	0	0	
2002	9	2	0	0	
2002	9	3	0	0	
2002	9	4	0	0	
2002	9	5	0	0	
2002	9	6	0	0	
2002	9	7	0	0	
2002	9	8	0	0	
2002	9	9	0	0	
2002	9	10	0	0	
2002	9	11	0	0	
2002	9	12	0	0	
2002	9	13	0	0	
2002	9	14	0	0	
2002	9	15	0	0	
2002	9	16	0	0	
2002	9	17	0	0	
2002	9	18	0	0	
2002	9	19	0	0	
2002	9	20	0	0	
2002	9	21	0	0	
2002	9	22	0	0	
2002	9	23	0	0	
2002	9	24	0	0	
2002	9	25	0	0	
2002	9	26	0	0	
