YYYY	MM	DD	hh	mm	Br
2001	1	1	0	0	
2001	1	2	0	0	
2001	1	3	0	0	
2001	1	4	0	0	
2001	1	5	0	0	
2001	1	6	0	0	
2001	1	7	0	0	
2001	1	8	0	0	
2001	1	9	0	0	
2001	1	10	0	0	
2001	1	11	0	0	
2001	1	12	0	0	
2001	1	13	0	0	
2001	1	14	0	0	
2001	1	15	0	0	
2001	1	16	0	0	
2001	1	17	0	0	
2001	1	18	0	0	
2001	1	19	0	0	
2001	1	20	0	0	
2001	1	21	0	0	
2001	1	22	0	0	
2001	1	23	0	0	
2001	1	24	0	0	
2001	1	25	0	0	
2001	1	26	0	0	
2001	1	27	0	0	
2001	1	28	0	0	
2001	1	29	0	0	
2001	1	30	0	0	
2001	1	31	0	0	
2001	2	1	0	0	
2001	2	2	0	0	
2001	2	3	0	0	
2001	2	4	0	0	
2001	2	5	0	0	
2001	2	6	0	0	
2001	2	7	0	0	
2001	2	8	0	0	
2001	2	9	0	0	
2001	2	10	0	0	
2001	2	11	0	0	
2001	2	12	0	0	
2001	2	13	0	0	
2001	2	14	0	0	
2001	2	15	0	0	
2001	2	16	0	0	
2001	2	17	0	0	
2001	2	18	0	0	
2001	2	19	0	0	
2001	2	20	0	0	
2001	2	21	0	0	
2001	2	22	0	0	
2001	2	23	0	0	
2001	2	24	0	0	
2001	2	25	0	0	
2001	2	26	0	0	
2001	2	27	0	0	
2001	2	28	0	0	
2001	3	1	0	0	
2001	3	2	0	0	
2001	3	3	0	0	
2001	3	4	0	0	
2001	3	5	0	0	
2001	3	6	0	0	
2001	3	7	0	0	
2001	3	8	0	0	
2001	3	9	0	0	
2001	3	10	0	0	
2001	3	11	0	0	
2001	3	12	0	0	
2001	3	13	0	0	
2001	3	14	0	0	
2001	3	15	0	0	
2001	3	16	0	0	
2001	3	17	0	0	
2001	3	18	0	0	
2001	3	19	0	0	
2001	3	20	0	0	
2001	3	21	0	0	
2001	3	22	0	0	
2001	3	23	0	0	
2001	3	24	0	0	
2001	3	25	0	0	
2001	3	26	0	0	
2001	3	27	0	0	
2001	3	28	0	0	
2001	3	29	0	0	
2001	3	30	0	0	
2001	3	31	0	0	
2001	4	1	0	0	
2001	4	2	0	0	
2001	4	3	0	0	
2001	4	4	0	0	
2001	4	5	0	0	
2001	4	6	0	0	
2001	4	7	0	0	
2001	4	8	0	0	
2001	4	9	0	0	
2001	4	10	0	0	
2001	4	11	0	0	
2001	4	12	0	0	
2001	4	13	0	0	
2001	4	14	0	0	
2001	4	15	0	0	
2001	4	16	0	0	
2001	4	17	0	0	
2001	4	18	0	0	
2001	4	19	0	0	
2001	4	20	0	0	
2001	4	21	0	0	
2001	4	22	0	0	
2001	4	23	0	0	
2001	4	24	0	0	
2001	4	25	0	0	
2001	4	26	0	0	
2001	4	27	0	0	
2001	4	28	0	0	
2001	4	29	0	0	
2001	4	30	0	0	
2001	5	1	0	0	
2001	5	2	0	0	
2001	5	3	0	0	
2001	5	4	0	0	
2001	5	5	0	0	
2001	5	6	0	0	
2001	5	7	0	0	
2001	5	8	0	0	
2001	5	9	0	0	
2001	5	10	0	0	
2001	5	11	0	0	
2001	5	12	0	0	
2001	5	13	0	0	
2001	5	14	0	0	
2001	5	15	0	0	
2001	5	16	0	0	
2001	5	17	0	0	
2001	5	18	0	0	
2001	5	19	0	0	
2001	5	20	0	0	
2001	5	21	0	0	
2001	5	22	0	0	
2001	5	23	0	0	
2001	5	24	0	0	
2001	5	25	0	0	
2001	5	26	0	0	
2001	5	27	0	0	
2001	5	28	0	0	
2001	5	29	0	0	
2001	5	30	0	0	
2001	5	31	0	0	
2001	6	1	0	0	
2001	6	2	0	0	
2001	6	3	0	0	
2001	6	4	0	0	
2001	6	5	0	0	
2001	6	6	0	0	
2001	6	7	0	0	
2001	6	8	0	0	
2001	6	9	0	0	
2001	6	10	0	0	
2001	6	11	0	0	
2001	6	12	0	0	
2001	6	13	0	0	
2001	6	14	0	0	
2001	6	15	0	0	
2001	6	16	0	0	
2001	6	17	0	0	
2001	6	18	0	0	
2001	6	19	0	0	
2001	6	20	0	0	
2001	6	21	0	0	
2001	6	22	0	0	
2001	6	23	0	0	
2001	6	24	0	0	
2001	6	25	0	0	
2001	6	26	0	0	
2001	6	27	0	0	
2001	6	28	0	0	
2001	6	29	0	0	
2001	6	30	0	0	
2001	7	1	0	0	
2001	7	2	0	0	
